query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
34999_1_145,129999_1_5,289.9004423710298,190.0844190974104,99.85975359484864,0 1,0 1
94999_1_8,89999_0_128,164.1345950303583,264.24745002499503,100.14180748511455,1 0,1 0
24999_0_94,129999_1_5,290.2065481630865,190.0844190974104,100.15913904218424,0 1,0 1
14999_0_122,39999_1_13,203.62053892334143,103.82077692422727,99.81918745933906,0 1,1 0
14999_0_126,39999_1_13,203.50114217335465,103.82077692422727,99.75541079799078,0 1,0 0
129999_1_5,159999_0_135,190.0844190974104,290.2924595045708,100.26780553834818,1 0,1 0
129999_1_5,29999_0_120,190.0844190974104,289.76116642999654,99.71390290708815,1 0,1 0
134999_1_4,29999_1_148,182.2391046482984,82.75042190812786,99.54427829761865,0 1,0 1
34999_1_7,69999_0_58,160.31917453288943,259.8084932736559,99.51283225096144,1 0,1 0
169999_0_30,99999_1_19,409.1457587534252,309.7294168531824,99.44906829231957,0 1,0 1
164999_0_146,39999_0_65,453.2548119076654,353.9974015381157,99.35324943114966,0 1,0 1
129999_1_5,29999_0_101,190.0844190974104,290.6909986296827,100.66466233950008,1 0,1 0
69999_1_67,84999_1_12,333.8854768941634,234.5622074800229,99.3339120629063,0 1,0 1
14999_0_98,39999_1_13,204.5391106751847,103.82077692422727,100.72587247826804,0 1,0 1
79999_0_116,44999_1_27,205.0964889651546,105.86914937168136,99.2722461236262,0 1,0 1
129999_1_24,119999_1_25,335.8937983688431,235.1835971407949,100.75506583345728,0 1,0 1
124999_1_130,174999_0_32,366.9313362259412,266.1183546789994,100.84007123774556,0 1,1 0
129999_1_5,174999_0_101,190.0844190974104,290.88717125491024,100.89310949158036,1 0,1 0
149999_0_35,69999_1_71,411.3719558246408,312.3274517453993,99.09664536404468,0 1,0 1
169999_1_54,124999_1_130,266.0096448749508,366.9313362259412,100.9361036074892,1 0,1 0
