query_idx_0,query_idx_1,return_0,return_1,rd
124999_1_114,24999_1_112,486.8234755029417,186.92865259339735,299.9902278038676
179999_0_128,69999_0_6,492.82426834106445,192.81372606867447,300.0406172455089
69999_0_6,179999_0_76,192.81372606867447,492.8251028060913,300.069933143226
89999_0_73,24999_1_112,487.33923592842234,186.92865259339735,300.4201618142181
24999_1_112,54999_1_90,186.92865259339735,487.58175140685495,300.6827503819484
159999_1_107,69999_0_6,491.9613468647003,192.81372606867447,299.1947460582129
34999_1_129,24999_1_112,486.0639225905508,186.92865259339735,299.1823723746841
69999_0_6,149999_1_94,192.81372606867447,491.83692901850765,299.07388175846245
69999_0_6,149999_1_140,192.81372606867447,491.82872770769404,299.0505600063286
189999_1_86,24999_1_112,487.8788363933563,186.92865259339735,301.00032246523614
69999_0_6,34999_0_84,192.81372606867447,491.6727910085846,298.92635532113945
4999_1_70,9999_1_76,10.29833405500921,309.0299606552005,298.7919739153308
109999_0_112,24999_1_112,488.1300238579776,186.92865259339735,301.2107078628699
24999_1_112,109999_0_129,186.92865259339735,488.13007902447487,301.291051906144
69999_0_6,119999_1_92,192.81372606867447,491.37435408993974,298.6460360290857
144999_1_64,24999_1_112,488.47149124754515,186.92865259339735,301.577257783421
24999_1_112,209999_1_85,186.92865259339735,488.45890217154283,301.6281744675531
169999_1_61,69999_0_6,491.0958647963298,192.81372606867447,298.3254915609861
9999_1_41,4999_1_70,308.57722660619265,10.29833405500921,298.3116804387562
24999_1_112,144999_1_131,186.92865259339735,488.93675680244144,302.0443619506651
