query_idx_0,query_idx_1,return_0,return_1,rd,gt_label,human_label
69999_1_71,49999_1_41,42.87129383036501,12.886833568764311,30.009398626146503,0 1,0 1
44999_1_47,34999_0_75,45.98507770046082,16.07342775436364,29.98615170829054,0 1,0 1
174999_0_112,134999_1_7,31.925699340886904,1.9042057682718745,30.02881420392925,0 1,0 1
49999_1_41,109999_1_43,12.886833568764311,42.90630349346738,30.032271115188767,1 0,1 0
49999_1_45,39999_0_70,15.021418981846525,45.024390533411086,30.032468123146813,1 0,1 0
49999_1_45,114999_0_111,15.021418981846525,44.94178621132341,29.960090932799098,1 0,1 0
84999_1_30,174999_1_42,19.54787887743525,49.49343400742778,29.95203803723356,1 0,1 0
174999_0_112,14999_1_53,31.925699340886904,1.957990887631518,30.06605691823107,0 1,0 1
84999_1_30,204999_1_103,19.54787887743525,49.60909333561876,30.070469738498307,1 0,1 0
39999_0_108,84999_1_30,49.3863245492942,19.54787887743525,29.925260421333157,0 1,0 1
74999_0_140,84999_1_30,49.3878500741757,19.54787887743525,29.911618423587058,0 1,0 1
39999_0_88,34999_0_75,46.13585623893176,16.07342775436364,30.090601320723557,0 1,0 1
174999_0_112,14999_1_33,31.925699340886904,2.054047576102024,29.892931778771207,0 1,0 1
49999_1_41,179999_1_34,12.886833568764311,42.75305918647737,29.89291314724822,1 0,1 0
169999_1_56,129999_1_24,30.512444857822267,0.4421723830168475,30.1077008192387,0 1,0 1
29999_0_100,59999_0_20,38.169521020580525,8.335555570967323,29.88724818058048,0 1,0 1
174999_1_16,14999_1_33,32.07068624540022,2.054047576102024,30.115105080637928,0 1,0 1
169999_1_56,129999_1_25,30.512444857822267,0.4402275876902331,30.122681676381355,0 1,0 1
164999_0_129,84999_1_30,49.31584818912242,19.54787887743525,29.867867870241884,0 1,0 1
44999_0_143,84999_1_30,49.36924657106947,19.54787887743525,29.86493212491827,0 1,0 1
