query_idx_0,query_idx_1,return_0,return_1,rd
34999_1_145,129999_1_5,289.9004423710298,190.0844190974104,99.85975359484863
94999_1_8,89999_0_128,164.1345950303583,264.24745002499503,100.14180748511455
24999_0_94,129999_1_5,290.20654816308655,190.0844190974104,100.15913904218424
14999_0_122,39999_1_13,203.62053892334146,103.82077692422727,99.81918745933906
14999_0_126,39999_1_13,203.50114217335465,103.82077692422727,99.75541079799078
129999_1_5,159999_0_135,190.0844190974104,290.29245950457073,100.26780553834818
129999_1_5,29999_0_120,190.0844190974104,289.76116642999654,99.71390290708815
134999_1_4,29999_1_148,182.2391046482984,82.75042190812786,99.54427829761863
34999_1_7,69999_0_58,160.31917453288943,259.8084932736559,99.51283225096144
169999_0_30,99999_1_19,409.1457587534252,309.72941685318233,99.44906829231955
164999_0_146,39999_0_65,453.2548119076654,353.9974015381157,99.35324943114966
129999_1_5,29999_0_101,190.0844190974104,290.6909986296827,100.66466233950008
69999_1_67,84999_1_12,333.8854768941634,234.56220748002292,99.3339120629063
14999_0_98,39999_1_13,204.5391106751847,103.82077692422727,100.72587247826803
79999_0_116,44999_1_27,205.0964889651546,105.86914937168137,99.2722461236262
129999_1_24,119999_1_25,335.8937983688431,235.18359714079486,100.75506583345728
124999_1_130,174999_0_32,366.93133622594115,266.1183546789994,100.84007123774556
129999_1_5,174999_0_101,190.0844190974104,290.88717125491024,100.89310949158035
149999_0_35,69999_1_71,411.37195582464074,312.3274517453993,99.09664536404469
169999_1_54,124999_1_130,266.00964487495077,366.93133622594115,100.93610360748919
